28528770;41x62
48261404;11x22
42139898;4x18x
49089166;1607x
709893;1x
49089167;6401x
37585154;3841x
38860574;7353x
36500137;1235x
42070759;358x5
43310593;3121x
41921912;20x16
48459215;x7631
24314142;91141
771554;42353
40917708;2x626
49089168;7798x
49089169;x2144
41921919;x221x
44365354;2x50x
14512341;05235
46653146;25313
49089170;0305x
14561843;77615
49089171;5126x
14867175;3578x
40599921;74636
36387358;16232
49089172;4510x
21268647;34424
45921129;3421x
25281247;8x996
36841029;112x5
28281193;x4043
49089173;133x1
39430381;2318x
49089174;4x313
49089175;21511
28889631;30x12
28498904;8x424
36122001;13161
39671146;36473
35804216;28816
45921125;2148x
49089176;446x9
49089177;612x5
41750644;86434
49089178;23750
49089179;800x8
49089180;63x80
49089181;47842
49089182;x911x
3431351;1111x
43155014;6x114
49089183;11x
47789286;50x52
3709205;2x1
43036494;1336x
46837434;73111
49089184;15x
49089185;81
42140494;1612x
24783268;1173x
2058718;74408
47843004;x4211
20373045;6089x
49089187;1151x
35524952;28434
39317790;x5775
12665000;9x900
21150557;x566x
49089188;3222x
28224131;21332
49089189;89301
47464513;2527
556878;327x4
48540754;0x738
46521273;43293
43434283;89653
43658749;5x234
48950534;846x5
43229672;x2688
48950535;763x7
28171788;69797
41398745;54090
28267222;40066
48950536;83479
11037051;26556
41234525;52182
42751710;9157x
48950537;7x948
43016025;5x436
38936371;61233
42472855;64248
38514699;16374
40501245;21935
38407311;74522
24141142;28813
41119803;31131
44450076;11x55
13072834;18388
7330015;7x253
16554840;382x5
48950538;7
48950539;7
4274085;49x89
48950541;43
48950542;x5768
214927;746x
48950543;87860
44080812;4x997
48950544;6x97x
5712774;37x66
43185219;7x749
38706956;93029
46521266;6675
42140093;7x980
43509954;6134x
38848080;46634
37081760;18896
5505762;78574
41048073;x7228
46753577;56
47829899;5
48129398;4
45775603;472
47829897;32
10180409;0
45775622;8445
47829898;65
45775613;4844
40010097;22-56114
2175619;6146762
28642283;5-664322
41288458;2121861
39826231;4634352
40552409;2591413
35828265;5526412
14594935;5777222
20925619;877
21736239;21225-79
28614330;3222813
28735329;8772548
35705202;7881556
35691889;6184623
38679752;3922712
42466432;665
6422477;606
42579275;6236557
43002507;279
41722348;7-365462
43159092;983553
45206749;84
36848434;0/5
40820031;5-32622
26781861;3454-334
47137215;055
39694999;8404354
40077145;35-
42525152;551
40887438;24-32451
35456855;3246727
39416266;62314-72
39013240;3283454
40781237;533-1568
11318390;31479-97
40485586;1595644
28181670;7443475
36716125;3325514
28702768;4/329551-
40605716;4-615435
37389796;9-233157
22200675;06-74346
